wdid,logg,mass
Gaia DR2 226849009958243328,7.805,0.466
Gaia DR2 226946969569258368,7.806,0.466
Gaia DR2 2278511250386534016,6.94,0.14800000000000002
Gaia DR2 2301882675705225472,8.302,0.7759999999999999
Gaia DR2 2343156241972483072,7.745,0.434
Gaia DR2 2356304373816227072,7.85,0.491
Gaia DR2 2358883106540929664,7.977,0.564
Gaia DR2 2359350398982277760,7.18,0.212
Gaia DR2 2395984030477271680,7.671,0.395
Gaia DR2 2423337955632676096,7.979,0.565
Gaia DR2 2469566617077493248,7.561,0.344
Gaia DR2 2470534148654250240,7.916,0.529
Gaia DR2 2476456668037305088,7.745,0.433
Gaia DR2 2482539166362050304,6.847,0.126
Gaia DR2 2520280250878310272,7.91,0.524
Gaia DR2 2521858084423378176,6.789,0.115
Gaia DR2 2541549062071571968,7.878,0.506
Gaia DR2 2557815649409852544,7.893,0.514
Gaia DR2 256087115787263616,6.634,0.084
Gaia DR2 2564860667085575552,7.374,0.273
Gaia DR2 2571255053050563072,7.861,0.496
Gaia DR2 2614758291460624128,7.961,0.5539999999999999
Gaia DR2 2644672498158933248,7.837,0.483
Gaia DR2 2660853323590227456,8.237,0.732
Gaia DR2 2704122988794215168,7.259,0.235
Gaia DR2 271431144150632832,7.765,0.44299999999999995
Gaia DR2 2742718080312489088,7.533,0.336
Gaia DR2 2744818284959641472,7.091,0.188
Gaia DR2 2761401084970307712,6.947,0.145
Gaia DR2 2762071409106142080,7.776,0.45
Gaia DR2 2766001510339988864,7.845,0.48700000000000004
Gaia DR2 282639432539759872,7.808,0.46799999999999997
Gaia DR2 2833496852677924480,7.843,0.485
Gaia DR2 2853763295814123264,7.858,0.495
Gaia DR2 2861250420244232448,7.2,0.21899999999999997
Gaia DR2 2880479190695673856,7.517,0.33
Gaia DR2 2896334839853302144,7.483,0.314
Gaia DR2 2898655286128869120,7.863,0.49700000000000005
Gaia DR2 2912243944178174720,7.0,0.16399999999999998
Gaia DR2 2925551818747071488,7.7,0.41
Gaia DR2 2927580653921907072,7.619,0.37200000000000005
Gaia DR2 2941594822966508288,8.053,0.611
Gaia DR2 2958841899798770176,7.918,0.528
Gaia DR2 2958843377267514752,7.477,0.314
Gaia DR2 2981005515890014976,7.742,0.433
Gaia DR2 3001062974507934080,7.789,0.45799999999999996
Gaia DR2 3030820432081929088,7.235,0.228
Gaia DR2 3030893377804110080,7.767,0.446
Gaia DR2 3035293417179571840,7.902,0.52
Gaia DR2 3036818783407270528,7.227,0.22899999999999998
Gaia DR2 3064151577318715904,7.927,0.534
Gaia DR2 3080726856841147264,7.892,0.514
Gaia DR2 3080914632816248448,7.742,0.43200000000000005
Gaia DR2 3083384234712571264,8.01,0.585
Gaia DR2 308651262017484544,7.717,0.42
Gaia DR2 3103811515783541504,7.71,0.414
Gaia DR2 3156013544735267840,8.042,0.604
Gaia DR2 316274416650957952,8.088,0.634
Gaia DR2 3175012418464287232,7.872,0.503
Gaia DR2 3186716371850274048,7.864,0.498
Gaia DR2 3191314048440629376,7.93,0.536
Gaia DR2 3196090567469896448,7.874,0.503
Gaia DR2 3225459317616903168,7.837,0.48200000000000004
Gaia DR2 3247999993180754048,7.889,0.512
Gaia DR2 3248429932292652416,7.103,0.191
Gaia DR2 3249479592234269056,7.88,0.506
Gaia DR2 3251942081669060992,8.294,0.77
Gaia DR2 3252915149459995136,7.798,0.46299999999999997
Gaia DR2 3287289048334694144,7.7,0.41
Gaia DR2 3300472360255236736,7.976,0.564
Gaia DR2 3316555604029932928,7.866,0.499
Gaia DR2 3338064456654920960,7.916,0.527
Gaia DR2 3346603611845335424,7.767,0.44299999999999995
Gaia DR2 3362709086369200256,7.961,0.555
Gaia DR2 3370182290811242624,7.939,0.541
Gaia DR2 337449812306056832,7.835,0.48200000000000004
Gaia DR2 339492052075797376,7.957,0.551
Gaia DR2 3407902514669380096,7.896,0.516
Gaia DR2 3407902583391122048,7.879,0.506
Gaia DR2 3442483156090480640,7.875,0.504
Gaia DR2 3469944348052483584,7.768,0.447
Gaia DR2 3472087468013021440,7.942,0.544
Gaia DR2 3476329040276360576,7.835,0.48200000000000004
Gaia DR2 3476385081009940352,7.929,0.536
Gaia DR2 3479611155500839424,7.723,0.423
Gaia DR2 3487767809495171200,7.972,0.561
Gaia DR2 3489344101147969024,7.953,0.5489999999999999
Gaia DR2 349112018609118336,7.862,0.49700000000000005
Gaia DR2 3521661939049391488,7.838,0.48200000000000004
Gaia DR2 3524299530004630528,7.848,0.489
Gaia DR2 3531133716326112384,7.913,0.527
Gaia DR2 3531591697278801152,7.711,0.418
Gaia DR2 3539583089523646720,7.759,0.441
Gaia DR2 3552304366042386304,7.838,0.483
Gaia DR2 3561959624322607744,7.63,0.377
Gaia DR2 3564743244166615552,7.293,0.24600000000000002
Gaia DR2 3588598592040003712,7.729,0.42700000000000005
Gaia DR2 3593022683233287424,7.878,0.506
Gaia DR2 363710101347919104,7.832,0.478
Gaia DR2 3688766094197606528,7.795,0.461
Gaia DR2 3726954405066019840,7.853,0.491
Gaia DR2 3732829885967805056,7.743,0.434
Gaia DR2 3734940188083120896,7.862,0.49700000000000005
Gaia DR2 3737732878898142208,7.883,0.508
Gaia DR2 3784591934170756352,7.771,0.447
Gaia DR2 3788039624678206848,7.874,0.504
Gaia DR2 3812046945673961856,7.701,0.41200000000000003
Gaia DR2 3932776827097014528,7.998,0.5770000000000001
Gaia DR2 3941619958601686016,7.83,0.479
Gaia DR2 3948718856642651904,7.929,0.535
Gaia DR2 3952184341199008384,7.151,0.204
Gaia DR2 395481104014178816,7.819,0.473
Gaia DR2 3957067310993650048,7.87,0.5
Gaia DR2 399602662005852544,7.917,0.528
Gaia DR2 4012048699177439744,7.784,0.45299999999999996
Gaia DR2 4012697887778691328,7.944,0.544
Gaia DR2 4094555467661923328,7.821,0.474
Gaia DR2 411732951025498112,7.895,0.515
Gaia DR2 4131862957999471744,7.512,0.326
Gaia DR2 4152106650692654208,7.229,0.22699999999999998
Gaia DR2 4180014832789446400,8.2,0.706
Gaia DR2 4190813690536580608,8.168,0.685
Gaia DR2 419438916923451648,8.226,0.7240000000000001
Gaia DR2 420531621029108608,7.69,0.40399999999999997
Gaia DR2 4229400153462745472,7.782,0.45299999999999996
Gaia DR2 4237172704241062912,7.718,0.42
Gaia DR2 4248639034274791552,7.177,0.213
Gaia DR2 4254454797960984192,8.062,0.617
Gaia DR2 426122397136335872,7.855,0.493
Gaia DR2 4264509625653266688,7.945,0.545
Gaia DR2 4277261344865247744,7.958,0.551
Gaia DR2 4337281421174823168,7.697,0.41
Gaia DR2 4347406510222459008,7.788,0.456
Gaia DR2 4349513797276615680,8.435,0.865
Gaia DR2 4355229123137665792,7.807,0.467
Gaia DR2 4367353266060378624,7.968,0.5589999999999999
Gaia DR2 4372725209292759936,7.841,0.485
Gaia DR2 4379812558164849408,7.985,0.569
Gaia DR2 4386278128914548352,7.918,0.528
Gaia DR2 4404459928069184896,8.13,0.6609999999999999
Gaia DR2 4406242000198708736,7.8,0.462
Gaia DR2 4413133013228067456,7.921,0.531
Gaia DR2 4446863869601988096,7.875,0.504
Gaia DR2 4452997701376633728,7.913,0.526
Gaia DR2 4454334020319210624,7.191,0.21600000000000003
Gaia DR2 4458886273338645888,7.861,0.49700000000000005
Gaia DR2 4463651999111841024,7.964,0.557
Gaia DR2 4483974792231866624,7.664,0.395
Gaia DR2 4484289866726156160,7.759,0.439
Gaia DR2 4491465107810964096,7.931,0.537
Gaia DR2 4520056606339200640,7.397,0.28
Gaia DR2 4520333442759039360,7.954,0.551
Gaia DR2 4535391941667533952,7.837,0.483
Gaia DR2 4539227892919675648,8.189,0.6990000000000001
Gaia DR2 4540596097701725952,7.852,0.491
Gaia DR2 4541415680545226624,7.888,0.512
Gaia DR2 4544925596536285056,7.898,0.518
Gaia DR2 4550937970929059328,7.796,0.461
Gaia DR2 4569753531162638464,7.71,0.41700000000000004
Gaia DR2 4583529557164354816,8.029,0.596
Gaia DR2 4611204329256349312,7.887,0.511
Gaia DR2 47762235355241856,7.821,0.475
Gaia DR2 478852711355785728,7.806,0.465
Gaia DR2 481814138550499456,7.776,0.451
Gaia DR2 488173610727575936,7.991,0.573
Gaia DR2 490974032483668352,7.891,0.513
Gaia DR2 491638962139198592,8.015,0.588
Gaia DR2 498732396983384320,7.82,0.474
Gaia DR2 5036998762686511360,7.242,0.233
Gaia DR2 5037978844158770816,7.923,0.532
Gaia DR2 503902850412105984,7.792,0.45899999999999996
Gaia DR2 5043140153603589760,7.76,0.44
Gaia DR2 5056515059719683072,7.911,0.525
Gaia DR2 50593477796911104,7.183,0.214
Gaia DR2 5068692632034069760,7.288,0.247
Gaia DR2 5070824035324313472,7.863,0.49700000000000005
Gaia DR2 5073586798807216384,7.818,0.47200000000000003
Gaia DR2 5077359154482959104,7.909,0.524
Gaia DR2 507831027502174848,7.845,0.488
Gaia DR2 5090109228757394048,7.07,0.18
Gaia DR2 5099234178835660160,7.826,0.478
Gaia DR2 5113019481963347072,7.826,0.478
Gaia DR2 5120806390814167936,7.699,0.409
Gaia DR2 5128633195616949120,7.791,0.457
Gaia DR2 5135133886317601280,7.734,0.42700000000000005
Gaia DR2 5135722709153613440,7.875,0.504
Gaia DR2 5151008051083531392,7.359,0.268
Gaia DR2 51619390865334272,7.564,0.349
Gaia DR2 5181816233750415488,7.778,0.449
Gaia DR2 526310244550180480,7.844,0.48700000000000004
Gaia DR2 530910734346043264,7.868,0.5
Gaia DR2 532212010651744640,7.847,0.489
Gaia DR2 544010899994075264,7.789,0.45799999999999996
Gaia DR2 5455321052535492224,8.04,0.603
Gaia DR2 5463965275513370496,7.82,0.475
Gaia DR2 5596969009545788288,7.848,0.489
Gaia DR2 5601233151850995584,7.901,0.519
Gaia DR2 5606925843242905088,8.041,0.604
Gaia DR2 5637196218688301824,7.061,0.18
Gaia DR2 5651964996310470144,8.003,0.579
Gaia DR2 5655455224174470528,7.915,0.528
Gaia DR2 5672600772274345600,7.748,0.436
Gaia DR2 5679143652439732480,7.688,0.405
Gaia DR2 5709868512742196608,7.907,0.521
Gaia DR2 5714855034197309696,8.033,0.597
Gaia DR2 571644964388467456,7.682,0.402
Gaia DR2 5722788525986605568,7.565,0.34600000000000003
Gaia DR2 5723267913056741376,7.051,0.17600000000000002
Gaia DR2 5726184333290383360,7.476,0.31
Gaia DR2 5755957119598921728,7.838,0.483
Gaia DR2 599820460951495680,7.838,0.483
Gaia DR2 6044265144466741888,7.732,0.425
Gaia DR2 610411820238973056,7.194,0.218
Gaia DR2 611074413433751680,7.021,0.172
Gaia DR2 6250213984568447872,7.725,0.42200000000000004
Gaia DR2 6302668381493496192,7.9,0.518
Gaia DR2 6329658849335013248,6.649,0.092
Gaia DR2 6332790090948045440,7.794,0.46
Gaia DR2 655355968638552576,7.872,0.503
Gaia DR2 675615677264385536,7.779,0.449
Gaia DR2 676773359928988672,7.854,0.49200000000000005
Gaia DR2 6767832581106739712,7.846,0.48700000000000004
Gaia DR2 6804004142837069952,7.874,0.504
Gaia DR2 6805171068271177344,7.675,0.39899999999999997
Gaia DR2 6846174090253894272,7.786,0.456
Gaia DR2 6847772269059769728,7.828,0.47700000000000004
Gaia DR2 6854699604635026944,7.804,0.465
Gaia DR2 6861930164895495424,7.883,0.509
Gaia DR2 686288018160731520,7.999,0.5770000000000001
Gaia DR2 6875432476922523520,8.063,0.617
Gaia DR2 714097617868691328,7.842,0.486
Gaia DR2 740483560857296768,6.565,0.07400000000000001
Gaia DR2 762670262012752256,7.747,0.435
Gaia DR2 814576110016081920,7.799,0.462
Gaia DR2 817371412171264512,7.652,0.38799999999999996
Gaia DR2 891234232503511552,7.909,0.523
Gaia DR2 931500512976150400,7.899,0.518
Gaia DR2 968286667349615872,7.927,0.535
Gaia DR2 983979721933760768,7.959,0.5529999999999999
Gaia DR2 996049988785290112,7.873,0.503
LHS 1093,8.07,0.62
PM J04263+4820,8.0,0.58
SDSS J003105.86+010600.1,8.074,0.622
SDSS J012339.94+405241.9,8.659,1.011
SDSS J013441.30-092212.7,6.579,0.077
SDSS J090027.55+204559.5,8.289,0.765
SDSS J091145.12+353135.6,8.756,1.069
SDSS J111828.49+331158.6,8.638,0.998
SDSS J114202.49+121805.5,7.242,0.228
SDSS J114829.00+482731.2,9.365,1.319
SDSS J141418.88-012215.1,8.572,0.956
SDSS J160420.40+055542.3,9.535,1.38
SDSS J160839.60+450358.8,7.469,0.305
SDSS J162714.07+263101.5,7.83,0.47600000000000003
WD 0042-337,8.0,0.58
WD 1253+385,8.789,1.088
WD 2126-007,7.804,0.46399999999999997
WD 2202-005,7.672,0.395
WD J2346-478,8.0,0.58
Wolf 1,7.346,0.263
[SLH2007] J080230.00+072858.2,8.139,0.665
